시도교육청코드,시도교육청명,표준학교코드,학교명,영문학교명,학교종류명,소재지명,관할조직명,설립명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,남녀공학구분명,팩스번호,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,수정일
B10,서울특별시교육청,7010118,강서고등학교,Gangseo High School,고등학교,서울특별시,서울특별시교육청,사립,07958 ,서울특별시 양천구 목동중앙남로 27,/ 강서고등학교 (목동),02-2642-0725,http://gangseo.sen.hs.kr,남,02-2651-3046,일반고,N,일반계,,후기,주간,19831101,19831101,20230205
B10,서울특별시교육청,7010270,강서공업고등학교,Gangseo Technical High School,고등학교,서울특별시,서울특별시교육청,공립,07514 ,서울특별시 강서구 방화대로47길 9,(방화동/강서공업고등학교),02-2666-2106,https://gangseo-th.sen.hs.kr/,남여공학,02-2666-2161,특성화고,N,전문계,,전기,주간,19940105,19940105,20230205
B10,서울특별시교육청,7081484,강신중학교,Kangsin Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,08047,서울특별시 양천구 남부순환로 604,(신월동/강신중학교),02-2694-9623,http://kangsin.sen.ms.kr,남여공학,02-2699-3253,,N,일반계,,전기,주간,19881224,19881224,20230205
B10,서울특별시교육청,7010958,강일고등학교,GANGIL HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,공립,05213 ,서울특별시 강동구 아리수로98길 40,(강일동),02-428-6200,http://www.gang-il.hs.kr,남여공학,02-428-6810,일반고,N,일반계,,후기,주간,20100301,20100404,20230205
B10,서울특별시교육청,7130169,강일중학교,Gang-il Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05236 ,서울특별시 강동구 고덕로27길 12,(암사동414-17),02-441-4651,http://www.kangil.ms.kr,남여공학,02-441-4677,,N,일반계,,전기,주간,19821209,19830415,20230205
B10,서울특별시교육청,7132124,강현중학교,Gang-hyeon Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,06953 ,서울특별시 동작구 상도로13라길 22,/ 강현중학교 (상도동),02-815-8335,http://sganghyeon.sen.ms.kr,남여공학,02-817-9162,,N,일반계,,전기,주간,19680806,19680806,20230205
B10,서울특별시교육청,7041165,개봉중학교,Gaebong Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08250 ,서울특별시 구로구 고척로21나길 68,(개봉동),02-3660-2400,http://gaebong.sen.ms.kr,남여공학,02-2688-9514,,N,일반계,,전기,주간,19840504,19840504,20230205
B10,서울특별시교육청,7121342,개운중학교,Gaewoon Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,공립,02808 ,서울특별시 성북구 북악산로 935,(돈암동/개운중학교),02-3291-5492,http://www.gw.ms.kr,남여공학,02-3291-5495,,N,해당없음,,전기,주간,20060301,20060301,20230205
B10,서울특별시교육청,7041166,개웅중학교,Kaewoong Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08351 ,서울특별시 구로구 개봉로11길 81,/ 개웅중학교 (개봉동/개웅중학교),02-2613-3342,http://www.kaewoong.ms.kr,남여공학,02-2616-7618,,N,일반계,,전기,주간,19870212,19870212,20230205
B10,서울특별시교육청,7091420,개원중학교,Gaewon Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06328 ,서울특별시 강남구 영동대로 101,/ 개원중학교 (개포동/개원중학교),02-3411-8321,http://gaewon.sen.ms.kr,남여공학,02-3411-8329,,N,일반계,,전기,주간,19841204,19841204,20230205
B10,서울특별시교육청,7010058,개포고등학교,Gaepo High School,고등학교,서울특별시,서울특별시교육청,공립,06324 ,서울특별시 강남구 개포로 402,(개포동/ 개포고등학교),02-576-3333,http://www.gaepo.hs.kr,남여공학,02-571-6560,일반고,N,일반계,,후기,주간,19870512,19870512,20230205
B10,서울특별시교육청,7091421,개포중학교,Gaepo Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06321 ,서울특별시 강남구 선릉로 9,(개포동/개포중학교),02-571-1361,http://www.gaepo.ms.kr,남여공학,02-578-3823,,N,일반계,,전기,주간,19821209,19830422,20230205
B10,서울특별시교육청,7130170,거원중학교,Geowon Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05789 ,서울특별시 송파구 양산로2길 30,(거여동/거원중학교),02-405-4205,http://www.geowon.ms.kr,남여공학,02-405-4204,,N,일반계,,전기,주간,19971220,19980406,20230205
B10,서울특별시교육청,7010119,건국대학교사범대학부속고등학교,Konkuk University High School,고등학교,서울특별시,서울특별시교육청,사립,05029 ,서울특별시 광진구 능동로 120,/ 건국대학교사범대학부속고등학교 (화양동),070-7012-3500,http://konkuk.sen.hs.kr,남여공학,02-456-0646,일반고,N,일반계,,후기,주간,19800131,19800515,20230205
B10,서울특별시교육청,7134119,건국대학교사범대학부속중학교,Middle School Attached To College of Education KONKUK University,중학교,서울특별시,서울특별시성동광진교육지원청,사립,05025 ,서울특별시 광진구 자양로 145-1,건국대학교사범대학부속중학교,02-457-0318,http://www.konkuk.ms.kr,남여공학,02-458-7427,,N,일반계,,전기,주간,19671230,19680515,20230205
B10,서울특별시교육청,7010059,경기고등학교,Kyunggi High School,고등학교,서울특별시,서울특별시교육청,공립,06086 ,서울특별시 강남구 영동대로 643,/ 경기고등학교 (삼성동),02-3496-7300,http://kyunggi.hs.kr/,남,02-3496-7497,일반고,N,일반계,,후기,주간,19001003,19001003,20230205
B10,서울특별시교육청,7010271,경기기계공업고등학교,Gyeonggi Mechanical Technical High School,고등학교,서울특별시,서울특별시교육청,공립,01810 ,서울특별시 노원구 공릉로 264,(하계동),02-2289-1600,http://www.ggmt.hs.kr,남여공학,02-978-4327,특성화고,N,전문계,,전기,주간,19570215,19570215,20230205
B10,서울특별시교육청,0000000,경기기계공업고등학교부설미래기술교육센터,.,공동실습소,서울특별시,서울특별시교육청,공립,01810 ,서울특별시 노원구 공릉로 264,(하계동/ 경기기계공업고등학교),02-970-8922,http://www.ggmt.hs.kr,남여공학,02-978-4327,,N,해당없음,,전기,주간,19820601,19820601,20230205
B10,서울특별시교육청,7010272,경기상업고등학교,Gyeonggi Commercial High School,고등학교,서울특별시,서울특별시교육청,공립,03047 ,서울특별시 종로구 자하문로 136,(청운동),02-737-6490,http://ggc.sen.hs.kr,남여공학,02-722-0504,특성화고,N,전문계,,전기,주간,19230206,19230514,20230205
B10,서울특별시교육청,7010060,경기여자고등학교,Kyunggi Girls’High School,고등학교,서울특별시,서울특별시교육청,공립,06324 ,서울특별시 강남구 삼성로 29,/ 경기여자고등학교 (개포동),02-573-6797,http://www.kgg.hs.kr,여,02-575-1157,일반고,N,일반계,,후기,주간,19080401,19080401,20230205
B10,서울특별시교육청,7010385,경기여자고등학교부설방송통신고등학교,Air and Correspondence High School Attached to Gyeonggi Girls’ High School,방송통신고등학교,서울특별시,서울특별시교육청,공립,06324 ,서울특별시 강남구 삼성로 29,(개포동/경기여자고등학교),02-573-6796,http://www.kgg.hs.kr,여,02-575-1157,일반고,N,일반계,,전기,주간,19740301,20020101,20230205
B10,서울특별시교육청,7031110,경기초등학교,Kyonggi Elementary School,초등학교,서울특별시,서울특별시서부교육지원청,사립,03746 ,서울특별시 서대문구 경기대로9길 10,(충정로2가/경기초등학교),02-363-2908,http://www.kyonggicho.es.kr,남여공학,02-3146-9581,,N,일반계,,전기,주간,19641203,19641203,20230205
B10,서울특별시교육청,7010061,경동고등학교,Kyungdong High School,고등학교,서울특별시,서울특별시교육청,공립,02870 ,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2353,www.kyungdong.hs.kr,남,02-926-7525,자율고,N,일반계,,후기,주간,19400416,19400416,20230205
B10,서울특별시교육청,7010386,경동고등학교부설방송통신고등학교,Air and Correspondence High School Attached to Kyungdong High School,방송통신고등학교,서울특별시,서울특별시교육청,공립,02870 ,서울특별시 성북구 보문로29길 49,(삼선동3가/ 경동고등학교),02-928-2077,http://kyungdong.cyber.hs.kr,남여공학,02-926-7525,일반고,N,일반계,,전기,주간,19741231,20020101,20230205
B10,서울특별시교육청,7010120,경문고등학교,Kyungmoon High School,고등학교,서울특별시,서울특별시교육청,사립,06995 ,서울특별시 동작구 동작대로 171,/ 경문고등학교 (동작동),02-535-1301,http://kyungmoon.hs.kr/,남,02-535-1230,일반고,N,일반계,,전기,주간,19800124,19800507,20230205
B10,서울특별시교육청,7010062,경복고등학교,Kyungbock High School,고등학교,서울특별시,서울특별시교육청,공립,03047 ,서울특별시 종로구 자하문로28가길 9,/ 경복고등학교 (청운동/경복고등학교),02-397-5301,http://kyungbock.sen.hs.kr,남,02-736-0422,일반고,N,일반계,,후기,주간,19210502,19210502,20230205
B10,서울특별시교육청,7010387,경복고등학교부설방송통신고등학교,Open highschool affiliated with KYUNGBOCK,방송통신고등학교,서울특별시,서울특별시교육청,공립,03047 ,서울특별시 종로구 자하문로28가길 9,(청운동),02-397-5470,http://www.cyber.hs.kr/user/index.do,남여공학,02-736-0422,일반고,N,일반계,,전기,주간,19740323,19740323,20230205
B10,서울특별시교육청,7010835,경복비즈니스고등학교,Kyungbok Business High School,고등학교,서울특별시,서울특별시교육청,사립,07589 ,서울특별시 강서구 화곡로 379,(등촌동),02-3661-3425,http://www.kbb.hs.kr,여,02-3661-8372,특성화고,N,전문계,,전기,주간,19721002,19721002,20230205
B10,서울특별시교육청,7010122,경복여자고등학교,Kyungbok Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,07589 ,서울특별시 강서구 화곡로63길 40,/ 경복여자고등학교 (등촌동),02-3661-1741,http://www.kb.hs.kr,여,02-3661-3795,일반고,N,일반계,,후기,주간,19931002,19931002,20230205
B10,서울특별시교육청,7134077,경복초등학교,Kyungbok Elementary School,초등학교,서울특별시,서울특별시성동광진교육지원청,사립,04991 ,서울특별시 광진구 천호대로130길 58,/ 경복초등학교 (능동),02-2204-1200,http://www.kbes.kr,남여공학,02-454-5086,,N,일반계,,전기,주간,19650302,19650302,20230205
B10,서울특별시교육청,7081485,경서중학교,Gyeongseo Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,07533 ,서울특별시 강서구 양천로59길 31,(가양동),02-2668-0304,http://gyeongseo.sen.ms.kr,남여공학,02-2668-6816,,N,일반계,,전기,주간,19500901,19930404,20230205
B10,서울특별시교육청,7010124,경성고등학교,Gyeongseong High School,고등학교,서울특별시,서울특별시교육청,사립,03977 ,서울특별시 마포구 성미산로 111,/ 경성고등학교 (연남동),02-3140-1168,http://www.gyeongseong.hs.kr,남,02-334-7533,일반고,N,일반계,,후기,주간,19671229,19671023,20230205
B10,서울특별시교육청,7031179,경성중학교,Gyeongseong Middle School,중학교,서울특별시,서울특별시서부교육지원청,사립,03977 ,서울특별시 마포구 성미산로 111,/ 경성중학교 (연남동/경성중고등학교),02-3140-1114,http://www.gyeongseong.ms.kr,남,02-334-7533,,N,일반계,,전기,주간,19670902,19671023,20230205
B10,서울특별시교육청,7134120,경수중학교,Gyeongsu Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04785 ,서울특별시 성동구 뚝섬로13길 14,(성수동2가),02-464-0675,http://www.gsu.ms.kr,남여공학,02-497-0296,,N,일반계,,전기,주간,19801227,19810504,20230205
B10,서울특별시교육청,7010125,경신고등학교,Kyungshin High School,고등학교,서울특별시,서울특별시교육청,사립,03067 ,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0393,http://kyungshin.hs.kr,남,02-762-0387,일반고,N,일반계,,후기,주간,18850509,18850509,20230205
B10,서울특별시교육청,7061094,경신중학교,Kyungshin Middle School,중학교,서울특별시,서울특별시중부교육지원청,사립,03067 ,서울특별시 종로구 혜화로 74,(혜화동/경신중고등학교),02-762-0313,https://ksms.sen.ms.kr,남,02-763-6034,,N,일반계,,전기,주간,18850509,18850509,20230205
B10,서울특별시교육청,7091422,경원중학교,Gyeongwon Middle School,중학교,서울특별시,서울특별시강남서초교육지원청,공립,06521 ,서울특별시 서초구 신반포로33길 39,(잠원동/경원중학교),02-593-6578,http://gyeongwon.sen.ms.kr,남여공학,02-599-0418,,N,일반계,,전기,주간,19810301,19810301,20230205
B10,서울특별시교육청,7010563,경인고등학교,Kyeongin High School,고등학교,서울특별시,서울특별시교육청,공립,08275 ,서울특별시 구로구 경인로46길 31,/ 경인고등학교 (고척동),02-2618-3043,http://kyeongin.sen.hs.kr,남여공학,02-2618-3093,일반고,N,일반계,,후기,주간,20020301,20020516,20230205
B10,서울특별시교육청,7041167,경인중학교,Kyeongin Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08238 ,서울특별시 구로구 경인로 301,(개봉동),02-2612-3471,kyeongin.sen.ms.kr,남여공학,02-2616-0649,,N,일반계,,전기,주간,19691111,19691111,20230205
B10,서울특별시교육청,7010698,경일고등학교,Kyungil High School,고등학교,서울특별시,서울특별시교육청,공립,04779 ,서울특별시 성동구 성수일로 27,/ 경일고등학교 (성수동1가),02-463-3520,http://kyungil.sen.hs.kr,남여공학,02-463-4072,자율고,N,일반계,,후기,주간,20040506,20040506,20230205
B10,서울특별시교육청,7134121,경일중학교,Kyungil Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04779 ,서울특별시 성동구 성수일로 27,(성수동1가),02-468-0651,http://kyungil.ms.kr,남여공학,02-468-2766,,N,해당없음,,전기,주간,20031230,20040506,20230205
B10,서울특별시교육청,7010126,경희고등학교,Kyunghee High School,고등학교,서울특별시,서울특별시교육청,사립,02447 ,서울특별시 동대문구 경희대로 26,(회기동/ 경희고등학교),02-966-3782,http://www.kyungheeboy.hs.kr/,남,02-962-3643,자율고,N,일반계,,전기,주간,19591212,19591212,20230205
B10,서울특별시교육청,7010127,경희여자고등학교,Kyung Hee Girls’High School,고등학교,서울특별시,서울특별시교육청,사립,02447 ,서울특별시 동대문구 경희대로 26,/ 경희여자고등학교 (회기동),02-966-4560,www.kyunghee.hs.kr,여,02-967-2429,일반고,N,일반계,,후기,주간,19600209,19600415,20230205
B10,서울특별시교육청,7021122,경희여자중학교,Kyunghee Girls’ Middle School,중학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,(회기동),02-2250-8888,http://kyungheegls.sen.ms.kr,여,02-965-5998,,N,일반계,,전기,주간,19600209,19600518,20230205
B10,서울특별시교육청,7021123,경희중학교,Kyunghee Middle School,중학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,/ 경희중학교 (회기동),02-966-6402,http://www.kyunghee.ms.kr,남,02-962-3644,,N,일반계,,전기,주간,19591212,19600415,20230205
B10,서울특별시교육청,7021079,경희초등학교,Kyunghee Elementary School,초등학교,서울특별시,서울특별시동부교육지원청,사립,02447 ,서울특별시 동대문구 경희대로 26,/ 경희초등학교 (회기동/ 경희대학교),02-962-4300,http://www.kyunghee.es.kr,남여공학,02-967-2498,,N,일반계,,전기,주간,19610331,19610518,20230205
B10,서울특별시교육청,7011312,계성고등학교,Gyeseong High School,고등학교,서울특별시,서울특별시교육청,사립,02720 ,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),02-728-6100,gyeseong.sen.hs.kr,남여공학,02-776-7086,일반고,N,일반계,,후기,주간,19440908,19440908,20230205
B10,서울특별시교육청,7091368,계성초등학교,Gyeseong Elementary School,초등학교,서울특별시,서울특별시강남서초교육지원청,사립,06504 ,서울특별시 서초구 신반포로19길 23,/ 계성초등학교 (반포동),02-590-5500,http://www.gyeseong1882.es.kr,남여공학,02-590-5555,,N,일반계,,전기,주간,18820908,18820908,20230205
B10,서울특별시교육청,7130171,고덕중학교,Godeok Middle School,중학교,서울특별시,서울특별시강동송파교육지원청,공립,05225 ,서울특별시 강동구 동남로82길 94,(고덕동),02-2045-6000,http://www.godeok.ms.kr,남여공학,02-2045-6097,,N,일반계,,전기,주간,19841130,19841130,20230205
B10,서울특별시교육청,7010797,고려대학교사범대학부속고등학교,Korea University High School,고등학교,서울특별시,서울특별시교육청,사립,02708 ,서울특별시 성북구 정릉로 161,/ 고려대학교사범대학부속고등학교 (정릉동),02-914-7483,http://koreahi.hs.kr,남,02-942-0732,일반고,N,일반계,,후기,주간,19680311,19680311,20230205
B10,서울특별시교육청,7121358,고려대학교사범대학부속중학교,Korea University Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,사립,02708 ,서울특별시 성북구 정릉로 161,(정릉동/고려대학교사범대학부속중학교),02-914-8853,http://www.koryo.ms.kr,남여공학,02-942-5626,,N,일반계,,전기,주간,19680311,19680311,20230205
B10,서울특별시교육청,7011487,고명외식고등학교,Komyung Food Service High School,고등학교,서울특별시,서울특별시교육청,사립,02828 ,서울특별시 성북구 북악산로 870,(돈암동),02-928-8366,http://komyung.sen.hs.kr,남여공학,02-924-6059,특성화고,N,전문계,,전기,주간,19560221,19560221,20230205
B10,서울특별시교육청,7121359,고명중학교,Komyung Middle School,중학교,서울특별시,서울특별시성북강북교육지원청,사립,02828 ,서울특별시 성북구 북악산로 870,(돈암동/고명중학교),02-926-2837,http://komyung.sen.ms.kr,남,02-921-8443,,N,일반계,,전기,주간,19550315,19550520,20230205
B10,서울특별시교육청,7010063,고척고등학교,Gocheok High School,고등학교,서울특별시,서울특별시교육청,공립,08239 ,서울특별시 구로구 중앙로15길 162,/ 고척고등학교 (고척동/ 고척고등학교),02-2616-9813,http://gocheok.sen.hs.kr,남여공학,02-2615-7802,자율고,N,일반계,,후기,주간,19841215,19841217,20230205
B10,서울특별시교육청,7041168,고척중학교,Gocheok Middle School,중학교,서울특별시,서울특별시남부교육지원청,공립,08225 ,서울특별시 구로구 중앙로3길 20,/ 고척중학교 (고척동),02-6917-7101,http://www.gocheok.ms.kr,남여공학,02-2615-9386,,N,일반계,,전기,주간,19841208,19850506,20230205
B10,서울특별시교육청,7051174,공릉중학교,Kongrung Middle School,중학교,서울특별시,서울특별시북부교육지원청,공립,01823 ,서울특별시 노원구 노원로1길 42,(공릉동/공릉중학교),02-971-5212,http://kongrung.sen.ms.kr,남여공학,02-948-2717,,N,일반계,,전기,주간,19841208,19850430,20230205
B10,서울특별시교육청,7010064,공항고등학교,Konghang High School,고등학교,서울특별시,서울특별시교육청,공립,07597 ,서울특별시 강서구 방화대로34길 43,(마곡동/ 공항고등학교),02-2664-6874,http://www.konghang.hs.kr,남여공학,02-6309-3919,일반고,N,일반계,,후기,주간,19821130,19830412,20230205
B10,서울특별시교육청,7081487,공항중학교,Gonghang Middle School,중학교,서울특별시,서울특별시강서양천교육지원청,공립,07618 ,서울특별시 강서구 방화대로 241,(공항동/공항중학교),02-2662-0471,http://gonghang.ms.kr,남여공학,02-2667-0739,,N,일반계,,전기,주간,19550428,19550428,20230205
B10,서울특별시교육청,7010065,관악고등학교,kwanak high school,고등학교,서울특별시,서울특별시교육청,공립,07278 ,서울특별시 영등포구 영등포로6길 26,(양평동2가),02-2633-5954,http://kwan-ak.hs.kr,남여공학,02-2632-9358,일반고,N,일반계,,후기,주간,19550427,19730427,20230205
B10,서울특별시교육청,7132125,관악중학교,Gwanak Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,공립,08741 ,서울특별시 관악구 남부순환로237길 60,/ 관악중학교 (봉천동),02-889-1782,http://www.gwanak.ms.kr,남여공학,02-872-6335,,N,일반계,,전기,주간,19810225,19820501,20230205
B10,서울특별시교육청,7010066,광남고등학교,Gwangnam High School,고등학교,서울특별시,서울특별시교육청,공립,04973 ,서울특별시 광진구 아차산로70길 17-16,/ 광남고등학교 (광장동/ 광남고등학교),02-2204-8705,http://www.gwang-nam.hs.kr,남여공학,02-458-7043,일반고,N,일반계,,후기,주간,19860125,19860513,20230205
B10,서울특별시교육청,7134122,광남중학교,Gwangnam Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,04973 ,서울특별시 광진구 아차산로70길 17-62,/ 광남중학교 (광장동),02-456-8792,http://www.gwangnam.ms.kr,남여공학,02-455-0161/453-2818,,N,일반계,,전기,주간,19930116,19930504,20230205
B10,서울특별시교육청,7010131,광문고등학교,Gwangmun High School,고등학교,서울특별시,서울특별시교육청,사립,05225 ,서울특별시 강동구 동남로 968,/ 광문고등학교 (고덕동),02-427-2870,http://gwangmun.sen.hs.kr,남여공학,02-427-4357,일반고,N,일반계,,후기,주간,19851105,19851105,20230205
B10,서울특별시교육청,7010132,광성고등학교,Kwangsung High School,고등학교,서울특별시,서울특별시교육청,사립,04097 ,서울특별시 마포구 신수로8길 20,(신수동),02-703-3457,http://kwangsung.sen.hs.kr,남,02-711-7397,일반고,N,일반계,,후기,주간,18940406,18940406,20230205
B10,서울특별시교육청,7031180,광성중학교,Kwangsung Middle School,중학교,서울특별시,서울특별시서부교육지원청,사립,04097 ,서울 마포구 신수로8길 20,(신수동/광성중고등학교),02-703-3456,http://www.kwangsung.ms.kr,남,02-3273-5120,,N,일반계,,전기,주간,18940406,18940406,20230205
B10,서울특별시교육청,7010523,광성하늘빛학교,Gwangsung Hanulbit School,특수학교,서울특별시,서울특별시교육청,사립,05511 ,서울특별시 송파구 올림픽로 625,/ 광성하늘빛학교 (풍납동/광성교회),02-474-1004,www.hanulbit.sc.kr/,남여공학,02-474-3434,,N,해당없음,,전기,주간,19991108,20000520,20230205
B10,서울특별시교육청,7010133,광신고등학교,Kwangshin High School,고등학교,서울특별시,서울특별시교육청,사립,08847 ,서울특별시 관악구 광신길 141,(신림동/광신중고등학교),02-881-8532,http://www.kwangshin.hs.kr,남여공학,02-881-8566,일반고,N,일반계,,후기,주간,19870120,19870102,20230205
B10,서울특별시교육청,7011488,광신방송예술고등학교,KWANGSHIN BROADCASTING ARTS HIGH SCHOOL,고등학교,서울특별시,서울특별시교육청,사립,08847 ,서울특별시 관악구 광신길 141,(신림동/ 광신방송예술고등학교),02-881-8612,http://ksmedia.sen.hs.kr,남여공학,02-881-8637,특성화고,N,전문계,,전기,주간,19051010,19051010,20230205
B10,서울특별시교육청,7132126,광신중학교,Kwangshin Middle School,중학교,서울특별시,서울특별시동작관악교육지원청,사립,08847 ,서울특별시 관악구 광신길 141,/ 광신중학교 (신림동),02-881-8652,http://www.kwangshin.ms.kr,남여공학,02-887-3075,,N,일반계,,전기,주간,19511010,19511010,20230205
B10,서울특별시교육청,7010067,광양고등학교,Gwangyang High School,고등학교,서울특별시,서울특별시교육청,공립,05104 ,서울특별시 광진구 자양로3가길 31,(자양동),02-446-1435,http://www.gwangyang.hs.kr,남여공학,02-458-9715,자율고,N,일반계,,후기,주간,19861215,19880420,20230205
B10,서울특별시교육청,7134123,광양중학교,Kwangyang Middle School,중학교,서울특별시,서울특별시성동광진교육지원청,공립,05104 ,서울특별시 광진구 자양로3길 7,(자양동),02-452-6922,http://www.kwangyang.ms.kr,남여공학,02-458-7067,,N,일반계,,전기,주간,19860129,19860418,20230205
B10,서울특별시교육청,7010134,광영고등학교,Kwangyoung High School,고등학교,서울특별시,서울특별시교육청,사립,07909 ,서울특별시 양천구 남부순환로30길 17,(신월동/광영고등학교),02-2650-2300,http://www.ky.hs.kr,남,02-2697-1002,일반고,N,일반계,,후기,주간,19850201,19850201,20230205
B10,서울특별시교육청,7010135,광영여자고등학교,Kwang-young Girls’ High School,고등학교,서울특별시,서울특별시교육청,사립,07909 ,서울특별시 양천구 남부순환로30길 17,/ 광영여자고등학교 (신월동),02-2697-5553,http://www.kyg.hs.kr,여,02-2697-5552,일반고,N,일반계,,후기,주간,19841217,19850306,20230205
